Year-Day,Date,Start Time (UTC),End Time (UTC),Comments,start,end
2021-265,"September 22, 2021",11:15:00,22:55:00,LDOPE Outage,2021-09-22,
2021-245,"September 2, 2021",16:40:00,16:50:00,LDOPE Outage;,2021-09-02,
2021-239,"August 27, 2021",00:55:00,01:00:00,LDOPE Outage;,2021-08-27,
2021-202,"July 21, 2021",15:40:00,15:45:00,LDOPE Outage;,2021-07-21,
2021-202,"July 21, 2021",14:15:00,14:20:00,LDOPE Outage;,2021-07-21,
2021-193,"July 12, 2021",00:50:00,01:05:00,LDOPE Outage,2021-07-12,
2021-179,"June 28, 2021",22:20:00,22:25:00,LDOPE Outage;,2021-06-28,
2021-154,"June 3, 2021",17:05:00,17:20:00,LDOPE Outage;,2021-06-03,
2021-090,"March 31, 2021",17:00:00,17:20:00,LDOPE Outage;,2021-03-31,
2021-062,"March 3, 2021",08:40:00,08:50:00,LDOPE Outage;,2021-03-03,
2021-049,"February 18, 2021",18:55:00,19:00:00,LDOPE Outage;,2021-02-18,
2021-005,"January 5, 2021",16:55:00,17:00:00,LDOPE Outage;,2021-01-05,
2020-351,"December 16, 2020",15:25:00,16:15:00,LDOPE Outage;,2020-12-16,
2020-280,"October 6, 2020",01:40:00,01:50:00,Terra PWA Superset Failure;,2020-10-06,
2020-280,"October 6, 2020",01:25:00,01:30:00,Terra PWA Superset Failure;,2020-10-06,
2020-280,"October 6, 2020",00:40:00,00:30:00,Terra PWA Superset Failure;,2020-10-06,
2020-280,"October 6, 2020",00:30:00,00:40:00,Terra PWA Superset Failure;,2020-10-06,
2020-279 - 2020-280,"October 5, 2020 - October 6, 2020",12:40:00,00:00:00,L0 Outage;,2020-10-05,2020-10-06
2020-089,"March 29, 2020",02:20:00,03:55:00,SFE Anomaly;,2020-03-29,
2020-058,"February 27, 2020",15:10:00,16:00:00,LDOPE Outage; IAM 58,2020-02-27,
2020-051,"February 20, 2020",15:00:00,15:45:00,LDOPE Outage; IAM 57,2020-02-20,
2020-023,"January 23, 2020",01:25:00,03:55:00,LDOPE Outage; DMU 118,2020-01-23,
2019-345,"December 11, 2019",14:55:00,15:45:00,LDOPE Outage; DMU 116,2019-12-11,
2019-323,"November 19, 2019",15:30:00,16:20:00,LDOPE Outage; DMU 115,2019-11-19,
2019-291,"October 18, 2019",15:30:00,16:15:00,LDOPE Outage; MODIS Roll 201,2019-10-18,
2019-290,"October 17, 2019",16:25:00,17:15:00,LDOPE Outage; IAM,2019-10-17,
2019-262,"September 19, 2019",16:15:00,17:00:00,LDOPE Outage; Modis Roll,2019-09-19,
2019-262,"September 19, 2019",01:15:00,02:00:00,LDOPE Outage; Modis Roll,2019-09-19,
2019-255,"September 12, 2019",16:00:00,16:40:00,LDOPE Outage; DMU,2019-09-12,
2019-242,"August 30, 2019",17:15:00,17:20:00,S/C Anomaly,2019-08-30,
2019-242,"August 30, 2019",06:20:00,06:30:00,S/C Anomaly,2019-08-30,
2019-193,"July 12, 2019",19:00:00,19:50:00,LDOPE Outage; DMU,2019-07-12,
2019-179,"June 28, 2019",21:05:00,21:15:00,Terra PWA failure Outage,2019-06-28,
2019-178,"June 27, 2019",16:25:00,17:20:00,LDOPE Outage; DMU,2019-06-27,
2019-135,"May 15, 2019",16:35:00,17:30:00,MCST Outage; Bug 6509,2019-05-15,
2019-135,"May 15, 2019",15:00:00,15:55:00,MCST Outage; Bug 6509,2019-05-15,
2019-102,"April 12, 2019",04:20:00,05:20:00,LDOPE Outage; DMU 111 RMM 15,2019-04-12,
2019-065,"March 6, 2019",14:50:00,17:25:00,LDOPE Outage; IAM 54,2019-03-06,
2019-057,"February 26, 2019",06:40:00,07:30:00,LDOPE Outage; DMU 110 RMM 14,2019-02-26,
2019-031,"January 31, 2019",17:35:00,18:25:00,LDOPE Outage; DMU 109,2019-01-31,
2018-360,"December 26, 2018",16:00:00,16:10:00,LDOPE Outage; Modis Roll 193,2018-12-26,
2018-339,"December 5, 2018",14:50:00,18:40:00,LDOPE Outage; Modis DMU 108,2018-12-05,
2018-305,"November 1, 2018",16:15:00,17:05:00,LDOPE Outage; Modis IAM 53,2018-11-01,
2018-302,"October 29, 2018",19:05:00,19:35:00,L0 Outage TDRS Identifier swap,2018-10-29,
2018-302,"October 29, 2018",18:15:00,18:50:00,L0 Outage TDRS Identifier swap,2018-10-29,
2018-298,"October 25, 2018",16:10:00,17:00:00,LDOPE Outage; Modis IAM 52,2018-10-25,
2018-281,"October 8, 2018",22:50:00,23:35:00,L0 Outage; HGA power down,2018-10-08,
2018-281,"October 8, 2018",21:10:00,22:10:00,L0 Outage; HGA power down,2018-10-08,
2018-281,"October 8, 2018",17:50:00,20:30:00,L0 Outage; HGA power down,2018-10-08,
2018-281,"October 8, 2018",13:55:00,14:35:00,L0 Outage; HGA power down,2018-10-08,
2018-281,"October 8, 2018",13:25:00,13:45:00,L0 Outage; HGA power down,2018-10-08,
2018-281,"October 8, 2018",12:15:00,13:20:00,L0 Outage; HGA power down,2018-10-08,
2018-270 - 2018-271,"September 27, 2018 - September 28, 2018",20:00:00,01:50:00,L0 Outage; Stored command not uploaded,2018-09-27,2018-09-28
2018-222,"August 10, 2018",22:20:00,22:35:00,"LDOPE Outage; Modis DMU 107, Bug 6426",2018-08-10,
2018-213,"August 1, 2018",19:00:00,19:30:00,"LDOPE Outage; Modis Roll 188, Bug 6421",2018-08-01,
2018-135,"May 15, 2018",04:40:00,04:45:00,"L0 Outage; TDS failed, Bug 6396",2018-05-15,
2018-053,"February 22, 2018",15:50:00,17:25:00,"LDOPE Outage, Inclination Adjust 51, Bug 6345",2018-02-22,
2018-039,"February 8, 2018",09:30:00,09:50:00,"L0 Outage; S/C Outage, Bug 6341",2018-02-08,
2017-355,"December 21, 2017",22:35:00,22:45:00,"L0 Outage; SSR Disabled, Bug 6317",2017-12-21,
2017-348,"December 14, 2017",14:50:00,15:35:00,"LDOPE Outage; Drag Makeup 104, Bug 6311",2017-12-14,
2017-292,"October 19, 2017",15:35:00,16:30:00,LDOPE Outage; Inclination Adjust 49,2017-10-19,
2017-282,"October 9, 2017",16:40:00,17:00:00,LDOPE Outage; Modis Roll 179;Bug 6288,2017-10-09,
2017-235,"August 23, 2017",21:40:00,22:00:00,MODIS TERRA Night -time-day-mode observation,2017-08-23,
2017-218,"August 6, 2017",00:00:00,01:20:00,L0 Outage; S/C Data Anomaly,2017-08-06,
2017-217,"August 5, 2017",23:40:00,23:55:00,L0 Outage; Deep Space Maneuver,2017-08-05,
2017-217,"August 5, 2017",23:25:00,23:40:00,Ancillary Outage; Deep Space Maneuver,2017-08-05,
2017-217,"August 5, 2017",23:00:00,23:25:00,L0 Outage; Deep Space Maneuver,2017-08-05,
2017-212,"July 31, 2017",03:35:00,03:40:00,L0 Outage; S/C Data Anomaly,2017-07-31,
2017-186,"July 5, 2017",15:55:00,17:35:00,LDOPE Outage; Drag Makeup 103,2017-07-05,
2017-180,"June 29, 2017",13:25:00,15:25:00,LDOPE Outage; Drag Makeup 102,2017-06-29,
2017-145,"May 25, 2017",16:50:00,17:15:00,LDOPE Outage; Drag Makeup 101,2017-05-25,
2017-114,"April 24, 2017",03:40:00,19:45:00,L0 Outage; S/C Data Anomoly,2017-04-24,
2017-102,"April 12, 2017",14:15:00,16:30:00,LDOPE Outage; Drag Makeup 100,2017-04-12,
2017-047,"February 16, 2017",15:20:00,16:05:00,LDOPE Outage; Inclination Adjust 47,2017-02-16,
2016-294,"October 20, 2016",13:25:00,16:30:00,LDOPE Outage; Inclination Adjust 46,2016-10-20,
2016-235,"August 22, 2016",10:40:00,12:25:00,LDOPE Outage; Lunar Roll 166,2016-08-22,
2016-105,"April 14, 2016",13:15:00,16:40:00,LDOPE Outage; Drag Make-Up 96,2016-04-14,
2016-071,"March 11, 2016",14:15:00,17:20:00,"LDOPE Outage, Inclination Adjust Maneuver 45",2016-03-11,
2016-063,"March 3, 2016",13:20:00,18:35:00,"LDOPE Outage, Inclination Adjust 44",2016-03-03,
2016-055 - 2016-059,"February 24, 2016 - February 28, 2016",19:45:00,00:00:00,LDOPE Outage; Corrupt Data/Terra SafeHold,2016-02-24,2016-02-28
2016-049 - 2016-055,"February 18, 2016 - February 24, 2016",14:35:00,19:45:00,L0 Outage; Terra SafeHold,2016-02-18,2016-02-24
2015-351,"December 17, 2015",15:20:00,18:45:00,"LDOPE Outage, Drag MakeUp 95, Bug 5946",2015-12-17,
2015-301,"October 28, 2015",13:30:00,18:30:00,"LDOPE Outage, Inclination 42",2015-10-28,
2015-274,"October 1, 2015",14:35:00,16:25:00,LDOPE Outage; Bug5884,2015-10-01,
2015-245,"September 2, 2015",15:10:00,16:55:00,LDOPE Outage; Bug5818,2015-09-02,
2015-167,"June 16, 2015",00:10:00,02:35:00,LDOPE Outage;Drag Makeup 93;Bug 5795,2015-06-16,
2015-112,"April 22, 2015",13:00:00,15:40:00,LDOPE Outage;Drag Makeup 91,2015-04-22,
2015-069,"March 10, 2015",17:35:00,17:40:00,LDOPE OUTAGE; Roll 149;Bug 5751,2015-03-10,
2015-063,"March 4, 2015",13:25:00,15:55:00,LDOPE OUTAGE; Drag Makeup 90;Bug 5699,2015-03-04,
2015-056,"February 25, 2015",13:35:00,17:35:00,LDOPE Outage; Inclination 41,2015-02-25,
2015-050,"February 19, 2015",14:20:00,17:30:00,LDOPE Outage; Inclination 40,2015-02-19,
2015-016,"January 16, 2015",22:20:00,23:05:00,"L0 Outage, S/C Anomaly;Bug 5644",2015-01-16,
2014-346,"December 12, 2014",14:50:00,17:50:00,LDOPE Outage; Drag Make-Up 87,2014-12-12,
2014-316,"November 12, 2014",19:30:00,20:45:00,L0 Outage; MDA2 BITE Failure; (MODAPS C6),2014-11-12,
2014-315,"November 11, 2014",08:30:00,10:15:00,LDOPE Outage; MODIS Roll 145 ;Bug 5754,2014-11-11,
2014-302,"October 29, 2014",13:25:00,18:00:00,LDOPE Outage; Inclination Adjust Maneuver 39;Bug 5755,2014-10-29,
2014-299,"October 26, 2014",01:15:00,18:20:00,L0 Outage; SFE Anomaly,2014-10-26,
2014-288,"October 15, 2014",22:55:00,23:05:00,L0 Outage; Spacecraft Anomaly caused a PWA failure,2014-10-15,
2014-288,"October 15, 2014",11:15:00,11:25:00,L0 Outage; Spacecraft Anomaly caused a PWA failure,2014-10-15,
2014-287,"October 14, 2014",22:05:00,22:25:00,L0 Outage; Spacecraft Anomaly caused a PWA failure,2014-10-14,
2014-252,"September 9, 2014",10:45:00,11:40:00,L0 Outage; Transponder issue,2014-09-09,
2014-203,"July 22, 2014",14:35:00,18:05:00,LDOPE Outage; Drag Make-Up 84,2014-07-22,
2014-169,"June 18, 2014",03:35:00,04:10:00,L0 Outage; S/C Data Anomaly,2014-06-18,
2014-144,"May 24, 2014",02:35:00,02:45:00,Ancillary Outage; Bad Attitude Data; SFE Anomaly,2014-05-24,
2014-115,"April 25, 2014",14:10:00,17:45:00,LDOPE Outage; Drag Make-Up 83;Bug 5757,2014-04-25,
2014-114,"April 24, 2014",02:35:00,02:45:00,Ancillary Outage; SFE Anomaly; (MODAPS C6),2014-04-24,
2014-080,"March 21, 2014",12:45:00,15:05:00,LDOPE Outage; Drag Make-Up 82: Bug 5758,2014-03-21,
2014-073,"March 14, 2014",15:05:00,18:40:00,LDOPE Outage; Drag Make-Up 81,2014-03-14,
2014-057,"February 26, 2014",13:00:00,17:20:00,LDOPE Outage; Inclination Adjust 38,2014-02-26,
2014-053,"February 22, 2014",08:40:00,09:40:00,L0 Outage; Spacecraft Anomaly,2014-02-22,
2014-043,"February 12, 2014",13:10:00,16:15:00,LDOPE Outage; Inclination Adjust Maneuver 37,2014-02-12,
2014-031,"January 31, 2014",14:05:00,17:40:00,LDOPE Outage; Drag Make-Up 79,2014-01-31,
2013-345,"December 11, 2013",14:20:00,17:20:00,LDOPE Outage;Drag Make up 78; Bug5685,2013-12-11,
2013-297,"October 24, 2013",15:25:00,18:05:00,LDOPE Outage; Drag Make-Up 76,2013-10-24,
2013-297,"October 24, 2013",03:20:00,03:25:00,Ancillary Outage; Bad Attitude Data; (MODAPS C6),2013-10-24,
2013-297,"October 24, 2013",02:00:00,03:20:00,L0 Outage; SFE anomaly,2013-10-24,
2013-297,"October 24, 2013",01:55:00,02:00:00,Ancillary Outage; Bad Attitude Data; (MODAPS C6),2013-10-24,
2013-296,"October 23, 2013",16:50:00,18:15:00,LDOPE Outage; MODIS Roll 132,2013-10-23,
2013-290,"October 17, 2013",13:20:00,17:15:00,LDOPE Outage; Inclination Adjust Maneuver 36,2013-10-17,
2013-283,"October 10, 2013",13:25:00,16:35:00,LDOPE Outage; Inclination Adjust Maneuver 35,2013-10-10,
2013-266,"September 23, 2013",15:10:00,16:30:00,L0 Outage; SFE anomaly,2013-09-23,
2013-242,"August 30, 2013",16:05:00,17:10:00,L0 Outage; Spacecraft Anomaly,2013-08-30,
2013-230,"August 18, 2013",10:05:00,12:50:00,LDOPE Outage; Drag Make-Up 75 (DAM 4),2013-08-18,
2013-207,"July 26, 2013",18:20:00,19:40:00,LDOPE Outage; MODIS Roll 129,2013-07-26,
2013-199,"July 18, 2013",13:45:00,16:10:00,LDOPE Outage; Drag Make-Up 74,2013-07-18,
2013-119,"April 29, 2013",20:50:00,22:00:00,LDOPE Outage; MODIS Roll 126,2013-04-29,
2013-057,"February 26, 2013",13:50:00,17:05:00,LDOPE Outage; Inclination 34,2013-02-26,
2012-354,"December 19, 2012",17:05:00,19:25:00,LDOPE Outage; Drag Make-up 70,2012-12-19,
2012-314,"November 9, 2012",13:10:00,15:55:00,LDOPE Outage; Drag Make-up 69,2012-11-09,
2012-286,"October 12, 2012",13:55:00,17:10:00,LDOPE Outage; Inclination 33,2012-10-12,
2012-279,"October 5, 2012",13:45:00,16:45:00,LDOPE Outage; Inclination 32,2012-10-05,
2012-279,"October 5, 2012",01:00:00,02:45:00,LDOPE Outage; MODIS Roll 120,2012-10-05,
2012-249,"September 5, 2012",07:35:00,09:15:00,LDOPE Outage; MODIS Roll 119,2012-09-05,
2012-222,"August 9, 2012",13:45:00,16:05:00,LDOPE Outage; Drag Make-up 68,2012-08-09,
2012-199,"July 17, 2012",01:50:00,01:55:00,Ancillary Outage; Spacecraft Anomaly,2012-07-17,
2012-198 - 2012-199,"July 16, 2012 - July 17, 2012",23:10:00,01:50:00,L0 Outage; Spacecraft Anomaly,2012-07-16,2012-07-17
2012-198,"July 16, 2012",23:05:00,23:10:00,Ancillary Outage; Spacecraft Anomaly,2012-07-16,
2012-189 - 2012-190,"July 7, 2012 - July 8, 2012",22:45:00,00:40:00,LDOPE Outage; MODIS Roll 117,2012-07-07,2012-07-08
2012-158,"June 6, 2012",13:45:00,16:40:00,LDOPE Outage; Drag Make-up 67,2012-06-06,
2012-132,"May 11, 2012",13:50:00,21:55:00,L0 Outage; Spacecraft Anomaly,2012-05-11,
2012-096,"April 5, 2012",15:55:00,19:55:00,LDOPE Outage; Drag Make-up 66,2012-04-05,
2012-093,"April 2, 2012",16:05:00,16:10:00,Ancillary Outage; SSR Anomaly (LRS data loss),2012-04-02,
2012-093,"April 2, 2012",16:00:00,16:05:00,L0 Outage; SSR Stopped,2012-04-02,
2012-054,"February 23, 2012",14:25:00,17:40:00,LDOPE Outage; Inclination 31,2012-02-23,
2012-032,"February 1, 2012",13:25:00,16:50:00,LDOPE Outage; Drag Make-up 65,2012-02-01,
2011-299,"October 26, 2011",13:55:00,16:55:00,LDOPE Outage; Inclination 30,2011-10-26,
2011-292,"October 19, 2011",13:20:00,16:50:00,LDOPE Outage; Inclination 29,2011-10-19,
2011-288,"October 15, 2011",02:35:00,02:55:00,"L0 Outage; S/C Outage/SSR Full, 4765",2011-10-15,
2011-271,"September 28, 2011",17:45:00,18:30:00,"L0 Outage; S/C Outage, 4764",2011-09-28,
2011-260,"September 17, 2011",09:15:00,10:55:00,LDOPE Outage; MODIS Roll 109,2011-09-17,
2011-230,"August 18, 2011",15:35:00,16:55:00,LDOPE Outage; MODIS Roll 108,2011-08-18,
2011-211,"July 30, 2011",07:35:00,07:40:00,L0 Outage; HDI Card Error,2011-07-30,
2011-185,"July 4, 2011",03:25:00,04:15:00,Ancillary Outage; Bad Ephemeris Data,2011-07-04,
2011-171,"June 20, 2011",06:45:00,08:40:00,LDOPE Outage; MODIS Roll 106,2011-06-20,
2011-166,"June 15, 2011",14:55:00,17:55:00,LDOPE Outage; Drag Make-up 62,2011-06-15,
2011-064,"March 5, 2011",18:10:00,18:25:00,L0 Outage; Satellite Equipment Failure,2011-03-05,
2011-064,"March 5, 2011",16:15:00,16:25:00,L0 Outage; Satellite Equipment Failure,2011-03-05,
2011-064,"March 5, 2011",15:00:00,16:05:00,L0 Outage; Satellite Equipment Failure,2011-03-05,
2011-019,"January 19, 2011",16:10:00,19:00:00,LDOPE Outage; Drag Make-up 60,2011-01-19,
2010-301,"October 28, 2010",14:00:00,17:45:00,LDOPE Outage; Inclination 27,2010-10-28,
2010-300,"October 27, 2010",17:00:00,19:25:00,LDOPE Outage; MODIS Roll 101,2010-10-27,
2010-294,"October 21, 2010",13:45:00,17:45:00,LDOPE Outage; Inclination 26,2010-10-21,
2010-266,"September 23, 2010",03:05:00,03:10:00,L0 Outage; SSR Anomaly,2010-09-23,
2010-266,"September 23, 2010",01:25:00,02:45:00,L0 Outage; SSR Anomaly,2010-09-23,
2010-223,"August 11, 2010",13:35:00,17:45:00,LDOPE Outage; Drag Make-up 59,2010-08-11,
2010-177,"June 26, 2010",06:25:00,08:05:00,Ancillary Outage; Science Formatting Equipment Anomaly(LRS data loss),2010-06-26,
2010-177,"June 26, 2010",03:10:00,06:25:00,L0 Outage; S/C Anomaly,2010-06-26,
2010-152,"June 1, 2010",15:30:00,18:00:00,LDOPE Outage; MODIS Roll 97,2010-06-01,
2010-118,"April 28, 2010",18:20:00,18:55:00,L0 Outage; Buffer Overflow,2010-04-28,
2010-107,"April 17, 2010",14:40:00,14:45:00,Ancillary Outage; Science Formatting Equipment Anomaly(LRS data loss),2010-04-17,
2010-107,"April 17, 2010",12:25:00,14:40:00,L0 Outage; SFE Anomaly,2010-04-17,
2010-065,"March 6, 2010",05:35:00,06:05:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2010-03-06,
2010-065,"March 6, 2010",03:25:00,05:35:00,L0 Outage; S/C Outage,2010-03-06,
2010-065,"March 6, 2010",03:20:00,03:25:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2010-03-06,
2010-055,"February 24, 2010",14:30:00,17:55:00,LDOPE Outage; Inclination 25,2010-02-24,
2010-020,"January 20, 2010",18:35:00,19:15:00,"L0 Outage; SFE Anomaly, 4746",2010-01-20,
2010-004,"January 4, 2010",15:55:00,18:00:00,LDOPE Outage; MODIS Roll 95,2010-01-04,
2009-356,"December 22, 2009",16:10:00,16:15:00,L0 Outage; SFE Anomaly,2009-12-22,
2009-286,"October 13, 2009",13:10:00,17:45:00,LDOPE Outage; Inclination 24,2009-10-13,
2009-280,"October 7, 2009",14:30:00,17:20:00,LDOPE Outage; Inclination 23,2009-10-07,
2009-265,"September 22, 2009",11:20:00,11:25:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2009-09-22,
2009-265,"September 22, 2009",11:10:00,11:20:00,L0 Outage; SSR Full,2009-09-22,
2009-265,"September 22, 2009",11:05:00,11:10:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2009-09-22,
2009-252,"September 9, 2009",05:45:00,07:45:00,LDOPE Outage; MODIS Roll,2009-09-09,
2009-252,"September 9, 2009",05:40:00,05:45:00,"Ancillary Outage, Science Formatting Equipment Anomaly (LRS data loss)",2009-09-09,
2009-252,"September 9, 2009",02:10:00,05:40:00,L0 Outage; SFE Anomaly,2009-09-09,
2009-252,"September 9, 2009",02:05:00,02:10:00,"Ancillary Outage, Science Formatting Equipment Anomaly (LRS data loss)",2009-09-09,
2009-250,"September 7, 2009",21:00:00,21:05:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2009-09-07,
2009-250,"September 7, 2009",15:20:00,21:00:00,L0 Outage; SFE Anomaly,2009-09-07,
2009-250,"September 7, 2009",15:15:00,15:20:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2009-09-07,
2009-241,"August 29, 2009",08:05:00,08:20:00,L0 Outage; SFE Anomaly,2009-08-29,
2009-238,"August 26, 2009",19:35:00,20:30:00,"Ancillary Outage, Science Formatting Equipment Anomaly (LRS data loss)",2009-08-26,
2009-238,"August 26, 2009",14:00:00,19:35:00,L0 Outage; SFE Anomaly,2009-08-26,
2009-190,"July 9, 2009",14:25:00,17:35:00,LDOPE Outage; Drag Make-up 56,2009-07-09,
2009-116,"April 26, 2009",13:55:00,17:40:00,L0 Outage; SFE Formatting Error,2009-04-26,
2009-116,"April 26, 2009",08:00:00,08:30:00,L0 Outage; SFE Formatting Error,2009-04-26,
2009-097,"April 7, 2009",01:55:00,02:10:00,L0 Outage; MD2 BYTE Failure,2009-04-07,
2009-044,"February 13, 2009",13:30:00,16:50:00,LDOPE Outage; MODIS Roll 88,2009-02-13,
2008-358,"December 23, 2008",18:00:00,18:05:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-12-23,
2008-355 - 2008-358,"December 20, 2008 - December 23, 2008",04:50:00,18:00:00,L0 Outage; Science Formatter Issue,2008-12-20,2008-12-23
2008-355,"December 20, 2008",04:00:00,04:50:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-12-20,
2008-322,"November 17, 2008",03:45:00,05:25:00,LDOPE Outage; MODIS Roll 85,2008-11-17,
2008-311,"November 6, 2008",16:25:00,18:40:00,LDOPE Outage; Drag Make-up 54,2008-11-06,
2008-297,"October 23, 2008",14:55:00,18:05:00,LDOPE Outage; Inclination 22,2008-10-23,
2008-263,"September 19, 2008",10:35:00,12:15:00,LDOPE Outage; MODIS Roll 83,2008-09-19,
2008-252,"September 8, 2008",20:40:00,20:50:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-09-08,
2008-252,"September 8, 2008",14:35:00,20:40:00,L0 Outage; SFE -A Anomaly,2008-09-08,
2008-252,"September 8, 2008",14:30:00,14:35:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-09-08,
